,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,City Date
358,Dunedin,-45.8742,170.5036,50.49,79,100,24.65,NZ,1635649586
359,Iquique,-20.2208,-70.1431,62.64,72,47,0.56,CL,1635649589
360,Sinop Province,41.7711,34.8709,47.59,72,47,8.61,TR,1635649590
361,Mulchén,-37.7167,-72.2333,60.46,52,100,3.18,CL,1635649591
362,Imbituba,-28.24,-48.6703,67.82,94,100,12.95,BR,1635649594
363,Mabaruma,8.2,-59.7833,73.71,93,95,1.97,GY,1635649595
364,Kingman,35.1894,-114.053,66.56,26,1,3.0,US,1635649306
365,Riyadh,24.6877,46.7219,71.74,43,0,5.5,SA,1635649597
366,Portland,45.5234,-122.6762,52.02,40,6,1.01,US,1635648945
367,Nautanwa,27.4333,83.4167,70.86,69,0,1.19,IN,1635649600
368,Praia da Vitória,38.7333,-27.0667,69.76,94,100,9.89,PT,1635649601
369,Vilhena,-12.7406,-60.1458,72.46,77,55,0.43,BR,1635649603
370,Iqaluit,63.7506,-68.5145,34.12,81,99,15.21,CA,1635649604
371,Pauini,-7.7136,-66.9764,76.17,77,20,2.98,BR,1635649605
372,Jennings,38.7192,-90.2604,46.94,93,1,0.0,US,1635649607
373,Grindavik,63.8424,-22.4338,39.67,87,0,20.71,IS,1635649608
374,Nome,64.5011,-165.4064,17.67,67,1,4.61,US,1635649609
375,Dori,14.0354,-0.0345,84.56,16,61,6.85,BF,1635649611
376,Beloha,-25.1667,45.05,67.68,77,71,7.65,MG,1635649612
377,Cabo San Lucas,22.8909,-109.9124,78.55,76,11,5.01,MX,1635649441
378,Kandi,11.1342,2.9386,74.35,37,48,3.0,BJ,1635649614
379,Biak,-0.9131,122.8766,83.82,67,92,0.67,ID,1635649616
380,Kuril'sk,45.2333,147.8833,50.43,67,86,6.64,RU,1635649617
381,Bathsheba,13.2167,-59.5167,81.21,69,40,14.97,BB,1635649619
382,Lagan,45.3929,47.3707,48.33,89,0,9.57,RU,1635649621
383,Yelizovo,53.1873,158.3805,44.74,61,75,6.71,RU,1635649622
384,Krasnogorsk,55.8225,37.3181,40.5,87,0,11.18,RU,1635649624
385,Emerald,-23.5333,148.1667,90.34,24,57,10.47,AU,1635649625
386,Talara,-4.5772,-81.2719,65.66,85,45,16.02,PE,1635649626
387,Sheltozero,61.3667,35.3667,43.59,91,82,13.89,RU,1635649628
388,Labuhan,-6.8844,112.2051,87.91,63,21,7.36,ID,1635649629
389,Kumul,42.8,93.45,54.23,36,100,6.4,CN,1635649630
390,Vievis,54.7667,24.8,45.3,75,65,13.53,LT,1635649631
391,Xique-Xique,-10.8218,-42.7263,80.62,47,2,13.73,BR,1635649633
392,Umm Kaddadah,13.6017,26.6876,83.19,26,21,13.96,SD,1635649634
393,Poltavka,54.3663,71.7632,32.0,94,100,17.13,RU,1635649390
394,Esim,4.8699,-2.2405,78.21,88,90,8.05,GH,1635649637
395,Taunggyi,20.7833,97.0333,69.19,81,38,3.78,MM,1635649638
396,Fortuna,40.5982,-124.1573,55.89,93,90,5.75,US,1635649639
397,St. George's,12.0564,-61.7485,79.27,79,74,10.51,GD,1635649640
398,Rovaniemi,66.5,25.7167,38.61,100,90,2.3,FI,1635649642
399,Bubaque,11.2833,-15.8333,79.54,75,100,1.57,GW,1635649643
400,Terrace Bay,48.7834,-87.1,46.26,85,96,5.73,CA,1635649486
401,Tiznit Province,29.5833,-9.5,61.66,59,0,1.19,MA,1635649646
402,Kontagora,10.3999,5.4695,72.81,45,100,2.53,NG,1635649647
403,Changli,39.7042,119.1506,55.33,57,65,11.01,CN,1635649648
404,Severo-Kuril'sk,50.6789,156.125,42.62,82,69,17.83,RU,1635649650
405,Kalianget,-7.05,113.9333,85.87,68,64,9.06,ID,1635649651
406,Saint-Joseph,-21.3667,55.6167,70.25,77,8,3.56,RE,1635649652
407,Mabay,6.0577,124.4666,86.2,70,100,5.35,PH,1635649653
408,Kahului,20.8947,-156.47,78.93,72,20,9.22,US,1635649601
409,Borogontsy,62.6683,131.1683,7.97,85,73,6.31,RU,1635649657
410,Tabriz,38.08,46.2919,51.26,82,90,4.61,IR,1635649658
411,Winslow,35.0242,-110.6974,55.58,35,1,5.75,US,1635649660
412,Sol'vychegodsk,61.3305,46.9156,40.71,95,98,7.99,RU,1635649661
413,Chotila,22.4167,71.1833,75.51,33,7,7.02,IN,1635649628
414,Vila,42.0304,-8.1588,54.37,94,100,7.02,PT,1635649663
415,Muncar,-8.4333,114.3333,87.13,64,48,6.44,ID,1635649665
416,Pangnirtung,66.1451,-65.7125,30.58,98,100,8.77,CA,1635649666
417,Khāpa,21.4333,78.9667,71.06,52,47,5.68,IN,1635649667
418,Pacifica,37.6138,-122.4869,56.62,88,75,1.99,US,1635649477
419,Fukuechō,32.6881,128.8419,69.22,61,19,17.56,JP,1635649670
420,Sakakah,29.9697,40.2064,71.01,34,100,7.58,SA,1635649671
421,Kirkwall,58.9848,-2.9587,44.78,87,18,12.66,GB,1635649672
422,Arrondissement de Bastia,42.6667,9.3333,62.89,93,90,3.0,FR,1635649674
423,Obihiro,42.9172,143.2044,53.1,61,100,0.4,JP,1635649675
424,Dickinson,29.4608,-95.0513,59.9,71,1,0.0,US,1635649471
425,Mehrān,33.1222,46.1646,78.6,29,99,9.51,IR,1635649679
426,Tuatapere,-46.1333,167.6833,50.25,66,99,15.52,NZ,1635649680
427,Broken Hill,-31.95,141.4333,68.7,18,96,9.86,AU,1635649681
428,Qaqortoq,60.7167,-46.0333,27.1,75,32,5.82,GL,1635649683
429,Nizhniy Baskunchak,48.2198,46.8311,39.29,76,5,2.64,RU,1635649684
430,Villaviciosa,43.4813,-5.4357,56.95,80,100,5.5,ES,1635649685
431,North Bend,43.4065,-124.2243,54.54,97,90,0.0,US,1635649687
432,Zyryanka,65.75,150.85,4.3,82,99,2.8,RU,1635649688
433,Lasem,-6.6922,111.4527,87.66,64,52,8.19,ID,1635649689
434,Steenbergen,51.5842,4.3194,49.08,86,90,5.75,NL,1635649692
435,Los Llanos de Aridane,28.6585,-17.9182,62.13,74,0,4.0,ES,1635649693
436,High Rock,26.6208,-78.2833,75.22,63,41,16.17,BS,1635649694
437,Mana,5.6592,-53.7767,78.33,85,33,6.08,GF,1635649696
438,Red Wing,44.5625,-92.5338,46.22,86,40,5.01,US,1635649547
439,Santa Lucía,27.9117,-15.5407,60.04,73,20,13.8,ES,1635649698
440,Inuvik,68.3499,-133.7218,15.82,82,75,7.07,CA,1635649699
441,Laguna de Perlas,12.3429,-83.6712,78.17,87,100,13.8,NI,1635649702
442,Angoche,-16.2325,39.9086,72.25,85,0,8.23,MZ,1635649703
443,Ola,59.5833,151.2833,20.62,50,100,20.09,RU,1635649705
444,Buchanan,5.8808,-10.0467,75.96,89,100,4.59,LR,1635649706
445,Jalu,29.0331,21.5482,67.35,44,38,7.9,LY,1635649707
446,Qinzhou,21.95,108.6167,69.78,86,98,4.23,CN,1635649709
447,Chabahar,25.2919,60.643,81.91,47,1,2.57,IR,1635649710
448,Kangaatsiaq,68.3065,-53.4641,34.92,97,99,31.5,GL,1635649712
449,Shawville,45.6001,-76.4827,48.54,98,100,5.3,CA,1635649714
450,Kupang,-10.1667,123.5833,90.18,58,40,9.22,ID,1635649715
451,Guanare,9.0418,-69.7421,72.66,96,100,2.51,VE,1635649716
452,Bonthe,7.5264,-12.505,74.37,93,92,4.59,SL,1635649718
453,Grand Gaube,-20.0064,57.6608,74.61,77,2,7.31,MU,1635649719
454,Rognan,67.0953,15.3878,41.99,93,71,7.96,NO,1635649720
455,Boaco,12.4722,-85.6586,71.49,93,100,2.66,NI,1635649722
456,Salalah,17.0151,54.0924,77.09,47,0,6.91,OM,1635649454
457,Mutoko,-17.397,32.2268,62.78,52,12,1.74,ZW,1635649725
458,Mosquera,4.7059,-74.2302,55.49,94,40,5.75,CO,1635649478
459,Airai,-8.9266,125.4092,77.09,54,69,1.86,TL,1635649465
460,Taguatinga,-12.3857,-46.5711,79.34,60,96,3.02,BR,1635649729
461,Amazar,53.858,120.875,30.58,38,30,4.18,RU,1635649730
462,Djambala,-2.5447,14.7533,66.52,95,100,3.96,CG,1635649731
463,Mastic Beach,40.7668,-72.8521,56.66,96,90,1.01,US,1635649732
464,Leshukonskoye,64.8989,45.7622,35.08,99,100,5.84,RU,1635649734
465,Sioux Lookout,50.1001,-91.917,39.27,87,75,12.66,CA,1635649735
466,Ozernovskiy,51.5,156.5167,39.47,99,97,19.95,RU,1635649736
467,Kiryat Gat,31.61,34.7642,68.68,63,98,8.79,IL,1635649738
468,Kerchevskiy,59.946,56.2884,28.76,99,100,2.8,RU,1635649739
469,Turbiv,49.3479,28.7212,39.24,81,0,9.51,UA,1635649740
470,Inta,66.0317,60.1659,8.6,91,94,7.61,RU,1635649742
471,Dongfeng,42.6403,125.5118,47.12,73,98,8.05,CN,1635649743
472,Olafsvik,64.8945,-23.7142,40.57,76,54,22.66,IS,1635649745
473,Gijón,43.5357,-5.6615,56.84,80,95,5.1,ES,1635649746
474,Tataouine,32.9297,10.4518,67.33,41,99,7.87,TN,1635649747
475,Nguruka,-5.1092,31.0419,68.72,76,100,3.89,TZ,1635649750
476,Rome,43.2128,-75.4557,53.64,92,90,4.61,US,1635649751
477,Chernyshevskiy,63.0128,112.4714,25.34,77,100,16.8,RU,1635649752
478,Ust-Kuyga,70.0167,135.6,-3.86,100,97,8.95,RU,1635649754
479,Iglesias,39.3114,8.535,60.49,92,100,5.32,IT,1635649755
480,Ust-Tsilma,65.441,52.1498,24.64,95,100,6.71,RU,1635649756
481,Zuwārah,32.9312,12.082,70.43,65,85,5.28,LY,1635649758
482,Moose Factory,51.2585,-80.6094,39.69,85,3,2.44,CA,1635649759
483,Oktyabr'skoye,43.0645,44.7417,30.34,100,0,6.71,RU,1635649760
484,Izazi,-7.2,35.7333,73.72,69,68,2.98,TZ,1635649756
485,Marabá,-5.3686,-49.1178,77.47,73,41,2.98,BR,1635649764
486,Nabire,-3.3667,135.4833,86.94,66,31,6.22,ID,1635649765
487,Thinadhoo,0.5333,72.9333,82.92,76,85,19.73,MV,1635649767
488,Coquimbo,-29.9533,-71.3436,55.13,94,90,4.61,CL,1635649769
489,São Félix do Xingu,-6.6447,-51.995,76.48,68,19,0.49,BR,1635649650
490,Sumbawanga,-7.9667,31.6167,62.38,64,79,1.36,TZ,1635649771
491,Nara,34.6851,135.8049,67.8,86,100,0.87,JP,1635649773
492,Luena,-11.7833,19.9167,61.57,98,95,4.9,AO,1635649774
493,Alyangula,-13.8483,136.4192,87.42,61,96,3.44,AU,1635649775
494,Codrington,-38.2667,141.9667,61.45,62,0,8.34,AU,1635649638
495,Krasnosel'kup,65.7,82.4667,12.54,95,100,10.92,RU,1635649778
496,Te Karaka,-38.4654,177.8679,71.06,59,100,7.9,NZ,1635649779
497,Zihuatanejo,17.6333,-101.55,79.39,83,17,2.3,MX,1635649781
498,Bumba,2.1833,22.4667,68.59,90,82,2.19,CD,1635649783
499,Manono,-7.3,27.4167,69.08,96,100,1.41,CD,1635649784
500,Nioro,13.35,-15.75,76.51,68,100,6.73,GM,1635649785
501,Galle,6.0367,80.217,81.07,80,25,2.89,LK,1635649787
502,Bantul,-7.8881,110.3289,85.1,71,100,6.44,ID,1635649788
503,Ostrovnoy,68.0531,39.5131,34.39,96,100,2.06,RU,1635649640
504,Hirara,24.8,125.2833,76.26,71,26,13.65,JP,1635649790
505,Karia,11.7306,11.1629,78.03,18,100,9.06,NG,1635649792
506,Llandrindod Wells,52.2416,-3.3787,47.5,92,100,18.21,GB,1635649793
507,Saldanha,-33.0117,17.9442,61.05,87,91,7.29,ZA,1635649794
508,Alcântara,-2.4089,-44.4147,77.14,88,14,7.25,BR,1635649796
509,Kosa,59.9445,54.9977,27.28,98,100,3.27,RU,1635649797
510,Fairmont,39.4851,-80.1426,53.22,95,100,2.8,US,1635649798
511,Sednëv,51.6447,31.565,41.2,89,0,7.58,UA,1635649800
512,Caramay,10.1815,119.236,81.93,82,99,11.7,PH,1635649801
513,Santa Rosalía,27.3167,-112.2833,74.3,46,0,5.3,MX,1635649803
514,Narsaq,60.9167,-46.05,26.82,74,34,4.9,GL,1635649804
515,Kalemie,-5.9475,29.1947,70.3,85,100,5.91,CD,1635649806
516,Safford,32.834,-109.7076,63.52,29,1,8.05,US,1635649807
517,Vasai,19.47,72.8,82.49,49,7,5.86,IN,1635649809
518,Necochea,-38.5473,-58.7368,54.03,80,92,13.89,AR,1635649810
519,Hwange,-18.3693,26.5019,73.51,57,3,2.06,ZW,1635649811
520,Anori,-3.7728,-61.6442,79.68,69,76,2.13,BR,1635649813
521,Bowen,-20.0167,148.2333,84.13,63,10,12.55,AU,1635649814
522,Kuzhithurai,8.3167,77.1833,79.3,86,100,3.53,IN,1635649816
523,Ilhabela,-23.7781,-45.3581,69.6,93,98,10.36,BR,1635649818
524,Morón,-34.6534,-58.6198,73.83,79,4,4.0,AR,1635649819
525,Charters Towers,-20.1,146.2667,98.15,26,15,9.75,AU,1635649733
526,Juan Lacaze,-34.4342,-57.4381,70.12,89,0,9.37,UY,1635649821
527,Anadyr,64.75,177.4833,6.01,92,100,20.0,RU,1635649823
528,Jiuquan,39.7432,98.5174,46.62,30,59,4.56,CN,1635649825
529,San Jose,37.3394,-121.895,57.81,77,75,6.91,US,1635649545
530,Sittwe,20.15,92.9,81.48,74,3,2.93,MM,1635649828
531,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,61,75,6.71,RU,1635649829
532,Jining,35.405,116.5814,67.19,49,100,2.73,CN,1635649631
533,Huizen,52.2992,5.2417,49.19,96,100,8.52,NL,1635649635
534,Tres Arroyos,-38.3739,-60.2798,50.09,84,100,12.35,AR,1635649833
535,Port Blair,11.6667,92.75,83.43,75,100,7.38,IN,1635649834
536,De-Kastri,51.4667,140.7833,32.94,50,6,7.76,RU,1635649835
537,Farsund,58.0948,6.8047,52.05,77,98,13.44,NO,1635649837
538,Port Augusta,-32.5,137.7667,78.71,15,70,10.56,AU,1635649838
539,Lompoc,34.6391,-120.4579,56.62,88,90,4.61,US,1635649839
540,Forbes,-33.3833,148.0167,74.57,14,0,6.87,AU,1635649840
541,Sweetwater,25.7634,-80.3731,72.12,74,20,6.91,US,1635649786
542,Kanungu,-0.9575,29.7897,59.16,96,100,1.19,UG,1635649844
543,Maragogi,-9.0122,-35.2225,76.66,72,19,9.17,BR,1635649845
544,Escanaba,45.7453,-87.0646,40.82,97,1,3.44,US,1635649711
545,Joué-lès-Tours,47.3522,0.6691,50.34,93,40,6.91,FR,1635649848
546,São João da Barra,-21.6403,-41.0511,70.79,91,100,7.85,BR,1635649849
547,Mīnāb,27.1467,57.0801,67.5,30,5,2.57,IR,1635649850
548,Ukiah,39.1502,-123.2078,55.89,83,90,5.75,US,1635649736
549,Hay River,60.8156,-115.7999,30.15,79,13,5.08,CA,1635649854
550,Braine-le-Comte,50.6082,4.1434,49.12,96,100,1.99,BE,1635649855
551,Venice,27.0998,-82.4543,68.99,82,75,0.0,US,1635649856
552,Suleya,55.1352,58.8792,37.02,99,100,5.35,RU,1635649858
553,Yuncheng,35.0231,110.9928,63.54,46,100,3.67,CN,1635649859
554,Cayenne,4.9333,-52.3333,82.09,81,75,3.0,GF,1635649708
555,Rocha,-34.4833,-54.3333,64.47,91,70,8.95,UY,1635649731
556,Muisne,0.6,-80.0333,74.62,80,46,4.94,EC,1635649863
557,Phan Thiet,10.9333,108.1,84.33,69,99,8.08,VN,1635649864
558,Pemangkat,1.1667,108.9667,85.14,69,18,3.18,ID,1635649865
559,Aborlan,9.4352,118.5492,81.64,83,100,10.42,PH,1635649867
560,Guayaramerín,-10.8368,-65.3614,78.39,67,41,3.04,BO,1635649811
561,Saint-François,46.4154,3.9054,56.26,96,90,5.75,FR,1635649870
562,Ullapool,57.8987,-5.1604,47.35,86,69,5.23,GB,1635649871
563,Salinópolis,-0.6136,-47.3561,78.91,85,40,9.95,BR,1635649873
564,Luanda,-8.8368,13.2343,75.2,83,75,6.91,AO,1635649874
565,Kutum,14.2,24.6667,71.65,26,83,7.49,SD,1635649875
566,Wajima,37.4,136.9,63.84,66,99,5.57,JP,1635649876
567,Twentynine Palms,34.1356,-116.0542,75.74,25,94,5.99,US,1635649878
568,Manzhouli,49.6,117.4333,34.36,23,1,4.25,CN,1635649880
