,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,City Date
414,Gao,16.6362,87.57,12,66,7.74,ML,1635628017
415,Verkhoyansk,67.5447,-14.31,100,53,2.46,RU,1635628018
416,Kisangani,0.5167,70.72,95,58,2.04,CD,1635628019
417,Kununurra,-15.7667,80.58,78,95,4.61,AU,1635627431
418,Adelaide,-34.9333,51.6,73,0,2.3,AU,1635627928
419,Taman',45.2117,48.52,72,0,22.08,RU,1635628023
420,Shakawe,-18.3667,80.49,39,23,2.48,BW,1635627735
421,Tazovsky,67.4667,9.16,94,100,14.65,RU,1635627578
422,Portree,57.4129,44.53,93,37,7.16,GB,1635628027
423,Quatre Cocos,-20.2078,70.09,78,38,7.27,MU,1635628028
424,Excelsior Springs,39.3392,63.91,39,1,4.61,US,1635627886
425,São Paulo de Olivença,-3.3783,84.65,75,96,2.01,BR,1635628031
426,Ballina,-28.8667,60.44,97,93,23.78,AU,1635628032
427,Port-Gentil,-0.7193,76.59,93,100,9.62,GA,1635628035
428,Yeppoon,-23.1333,74.98,74,23,3.42,AU,1635628036
429,Soubre,5.7856,73.54,98,100,2.73,CI,1635628038
430,Boguchany,58.3814,23.95,66,100,7.52,RU,1635628039
431,Kamina,-8.7386,64.92,95,96,4.41,CD,1635628041
432,Honggang,46.4667,32.85,36,100,14.43,CN,1635628042
433,Mariental,-24.6333,74.86,13,0,4.5,NA,1635628043
434,Solikamsk,59.6196,31.82,99,100,2.28,RU,1635628045
435,Linxia Chengguanzhen,35.6003,40.14,79,100,1.81,CN,1635628046
436,Jejūri,18.2833,70.0,68,6,5.1,IN,1635628048
437,Saint Paul,44.9444,58.23,58,1,1.01,US,1635627787
438,Umeå,63.8284,44.53,100,90,4.61,SE,1635628050
439,Grand Gaube,-20.0064,70.38,84,6,1.99,MU,1635628052
440,Vestmannaeyjar,63.4427,43.57,77,83,5.46,IS,1635627651
441,Phang Nga,8.4509,75.24,93,100,2.39,TH,1635628054
442,Puerto Colombia,10.9878,81.12,79,100,11.39,CO,1635628056
443,Fonte Boa,-2.4959,81.32,77,79,4.94,BR,1635628057
444,Makakilo City,21.3469,81.97,56,20,4.61,US,1635628059
445,Baruun-Urt,46.6806,20.8,40,20,2.84,MN,1635628060
446,City of San Pedro,14.35,78.93,78,64,12.37,PH,1635628062
447,San Patricio,28.017,79.97,17,0,2.17,US,1635628063
448,Okato,-39.2,56.68,67,41,14.61,NZ,1635628065
449,Ostrovnoy,68.0531,33.96,94,100,10.38,RU,1635627831
450,Olafsvik,64.8945,43.29,90,73,20.49,IS,1635627658
451,Baculin,7.4525,77.97,86,94,5.59,PH,1635628069
452,Pedernales,18.0384,85.21,63,37,8.43,DO,1635628071
453,Bathsheba,13.2167,84.81,65,20,14.97,BB,1635627366
454,El Retorno,2.3302,82.22,71,95,1.25,CO,1635628074
455,Lata,40.1629,62.55,98,100,3.51,PT,1635628075
456,Samaná,19.2056,83.37,62,5,7.29,DO,1635627709
457,Monforte de Lemos,42.5216,59.72,85,100,3.33,ES,1635628078
458,Kilindoni,-7.9139,78.78,78,14,6.13,TZ,1635628079
459,Khorramshahr,30.4397,78.75,70,41,6.98,IR,1635628081
460,Wenling,28.3669,55.9,82,0,6.24,CN,1635628082
461,Geraldton,-28.7667,52.21,82,0,9.22,AU,1635627448
462,Krasnyy Chikoy,50.3643,24.39,60,13,3.71,RU,1635628085
463,Antofagasta,-23.65,61.88,64,10,5.95,CL,1635628086
464,Esperance,-33.8667,56.21,69,13,14.83,AU,1635628088
465,General Pico,-35.6566,77.76,39,100,24.34,AR,1635628089
466,Humberto de Campos,-2.5983,80.02,75,48,6.46,BR,1635628091
467,Miraflores,19.2167,71.85,38,42,1.25,MX,1635628093
468,Winnemucca,40.973,66.25,39,1,5.75,US,1635628094
469,Sanguéya,10.7,74.3,94,99,1.05,GN,1635628096
470,Aswān,24.0934,85.23,27,81,5.61,EG,1635628097
471,Yarmouth,41.7057,60.98,92,90,8.99,US,1635628065
472,Lehre,52.3333,54.36,74,75,8.05,DE,1635628100
473,Kolokani,13.5728,82.54,32,95,1.48,ML,1635628101
474,Bom Jesus,-9.0744,88.75,31,55,3.71,BR,1635628102
475,Dunmore East,52.1514,54.97,75,100,22.57,IE,1635628104
476,Okakarara,-20.5833,76.14,18,1,14.12,NA,1635628105
477,Balsas,-7.5325,87.28,40,93,2.95,BR,1635628107
478,Sabha,27.0377,70.45,27,3,3.51,LY,1635628108
479,Tual,-5.6667,83.16,72,68,5.7,ID,1635628109
480,Bilma,18.6853,83.19,22,27,19.71,NE,1635627727
481,Kargasok,59.0556,24.12,73,100,7.85,RU,1635628112
482,Naryan-Mar,67.6713,17.49,91,100,12.57,RU,1635627700
483,Malakanagiri,18.35,72.93,92,98,0.27,IN,1635627968
484,Tokur,53.1333,8.24,94,17,1.14,RU,1635627688
485,St. George's,12.0564,83.88,70,20,13.8,GD,1635628116
486,Cururupu,-1.8283,77.36,83,28,3.71,BR,1635628118
487,Kayerkan,69.3497,11.61,96,100,1.81,RU,1635628119
488,Rio Grande,-32.035,72.95,82,73,19.91,BR,1635628121
489,Leshukonskoye,64.8989,32.22,97,100,4.45,RU,1635628123
490,Zaykovo,57.5613,28.65,87,83,8.41,RU,1635628125
491,Lerwick,60.1545,48.2,94,100,9.66,GB,1635628126
492,Khani,41.9563,53.17,75,14,5.64,GE,1635628128
493,Muzhi,65.3667,0.36,94,21,4.56,RU,1635628129
494,Giohar,2.7809,77.36,76,27,11.7,SO,1635628130
495,Pantai Remis,4.4557,76.66,87,97,5.91,MY,1635628132
496,Krasnodarskiy Kray,45.0,44.02,76,0,11.07,RU,1635628133
497,Hobyo,5.3505,80.31,69,7,14.7,SO,1635627824
498,Safi,32.2994,65.5,85,8,1.92,MA,1635628136
499,Betamcherla,15.4667,72.68,89,91,3.6,IN,1635628137
500,Yangi Marg`ilon,40.4272,49.71,46,100,1.74,UZ,1635628139
501,San Luis,-33.295,75.07,60,52,17.13,AR,1635628137
502,Santa Isabel,-23.3156,67.8,93,100,8.77,BR,1635628142
503,Brae,60.3964,48.11,94,100,3.78,GB,1635628143
504,Dhidhdhoo,6.8833,80.19,80,81,6.22,MV,1635628145
505,Pudozh,61.8099,42.62,95,92,6.96,RU,1635628146
506,Anloga,5.7947,81.79,80,59,11.9,GH,1635628147
507,Cabedelo,-6.9811,78.96,71,5,16.2,BR,1635627642
508,Aromashevo,56.8602,28.76,97,100,7.2,RU,1635628150
509,Rodolfo Sánchez Taboada,31.7167,67.1,76,21,3.0,MX,1635628088
510,Arganil,40.2183,62.76,97,100,3.56,PT,1635627856
511,Tabou,4.423,77.85,87,100,5.55,CI,1635628154
512,Tupik,54.4253,20.8,44,43,4.18,RU,1635628156
513,Nemuro,43.3236,49.57,76,56,10.78,JP,1635628115
514,Arrondissement de Saint-Denis,48.9167,52.27,90,0,4.61,FR,1635628160
515,Korla,41.7597,47.64,34,42,1.07,CN,1635627827
516,Santa Isabel Rio Negro,-0.4139,85.87,66,89,1.07,BR,1635628162
517,Oktyabr'skiy,54.4815,44.33,95,100,8.37,RU,1635628164
518,Vilyuysk,63.7553,13.64,83,100,9.98,RU,1635628165
519,Strezhevoy,60.7333,10.38,98,85,4.07,RU,1635628167
520,Snezhnogorsk,69.1933,22.78,91,100,3.38,RU,1635628168
521,Nishihara,26.1842,70.88,73,20,5.75,JP,1635628170
522,Altamira,-3.2033,81.91,63,46,0.98,BR,1635628171
523,Gamba,-2.65,76.62,91,100,7.27,GA,1635628173
524,La Ronge,55.1001,36.81,63,100,12.59,CA,1635628177
525,Birao,10.2849,78.51,27,98,1.59,CF,1635627763
526,Moose Factory,51.2585,45.66,77,7,4.9,CA,1635628179
527,Tooele,40.5308,62.53,63,1,8.05,US,1635628181
528,Godda,24.8333,70.75,51,78,2.21,IN,1635628183
529,Eucaliptus,-17.5833,59.67,39,49,18.23,BO,1635628185
530,La Crosse,43.8014,60.3,60,1,1.99,US,1635627998
531,Ambatolampy,-19.3833,56.97,90,81,2.59,MG,1635628187
532,Hastings,50.8552,49.86,79,90,15.01,GB,1635627601
533,Meulaboh,4.1363,75.47,88,100,4.41,ID,1635628190
534,Coahuayana Viejo,18.7333,87.42,63,12,5.97,MX,1635628191
535,Varkaus,62.3153,44.29,92,91,7.56,FI,1635628194
536,Sioux Lookout,50.1001,44.67,87,90,8.05,CA,1635628195
537,Coffs Harbour,-30.3,57.16,94,75,12.66,AU,1635628197
538,Wajid,3.8093,80.28,41,97,13.65,SO,1635628198
539,East Bethel,45.3194,58.06,56,40,1.01,US,1635628200
540,Itarema,-2.9248,80.55,74,26,12.24,BR,1635628203
541,Imbituba,-28.24,66.81,94,100,11.54,BR,1635628205
542,Angoche,-16.2325,74.59,73,3,8.68,MZ,1635628206
543,Boende,-0.2167,73.54,85,85,2.46,CD,1635628208
544,Trairi,-3.2778,79.92,75,19,8.68,BR,1635627346
545,Salalah,17.0151,78.89,65,0,4.61,OM,1635628210
546,Ust'-Ordynskiy,52.805,31.84,85,64,4.32,RU,1635628212
547,Ivolginsk,51.7492,13.66,92,97,2.24,RU,1635628213
548,Lufilufi,-13.8745,83.79,74,99,15.95,WS,1635628215
549,Dunedin,-45.8742,59.81,90,50,11.01,NZ,1635628164
550,Stornoway,58.2093,43.52,93,6,8.05,GB,1635628218
551,Praia da Vitória,38.7333,70.75,88,100,12.64,PT,1635628220
552,Kalmunai,7.4167,77.5,89,100,7.52,LK,1635628221
553,Chitral,35.8462,49.69,33,0,8.28,PK,1635628223
554,Cam Ranh,11.9214,76.96,94,75,4.61,VN,1635628224
555,Uglovskoye,51.3557,34.2,73,95,10.47,RU,1635628225
556,Hamilton,39.1834,54.3,94,90,1.01,US,1635628097
557,Palu,-0.8917,74.61,96,100,2.04,ID,1635628058
558,Engenheiro Beltrão,-23.7972,73.15,80,99,4.99,BR,1635628229
559,Linjiang,41.8069,45.79,93,96,0.29,CN,1635628231
560,Maumere,-8.6199,79.84,80,100,1.61,ID,1635628232
561,Keetmanshoop,-26.5833,75.7,20,0,9.6,NA,1635628234
562,Jinji,23.2281,65.08,97,100,2.62,CN,1635628235
563,Cedar City,37.6775,66.9,30,1,17.27,US,1635628237
564,Danjiangkou,32.5428,59.97,68,100,1.74,CN,1635628238
565,Yar-Sale,66.8333,10.56,90,100,17.94,RU,1635627770
566,Wynyard,-41.0,51.98,84,100,9.69,AU,1635628241
567,Polunochnoye,60.8697,14.43,98,73,2.39,RU,1635628200
568,Alpena,45.0617,51.73,79,90,3.0,US,1635628243
569,Puntarenas,9.9763,80.53,81,100,3.15,CR,1635628148
570,Kushima,31.4583,61.03,94,83,8.9,JP,1635628246
571,Petropavlovsk-Kamchatskiy,53.0452,28.99,74,40,4.47,RU,1635628247
572,Pedro Carbo,-1.8333,87.21,53,80,11.32,EC,1635628248
573,Cervo,43.6702,62.96,80,29,7.49,ES,1635627712
574,Kumul,42.8,50.56,43,100,3.29,CN,1635627995
575,Yenagoa,4.9247,76.95,94,100,3.65,NG,1635628252
576,Kahului,20.8947,81.81,63,20,12.66,US,1635628026
577,Ciudad del Carmen,18.6333,84.24,45,1,9.22,MX,1635628256
578,Iqaluit,63.7506,36.7,64,100,15.99,CA,1635628257
579,Roald,62.5833,49.23,76,0,5.75,NO,1635628258
580,Puerto Baquerizo Moreno,-0.9,70.79,83,75,13.8,EC,1635628260
581,Chāndur,19.7333,67.33,71,69,5.61,IN,1635628261
582,Boyolangu,-8.1181,76.3,91,100,0.96,ID,1635628263
583,Amazar,53.858,19.74,63,25,2.24,RU,1635628265
584,Vizinga,61.0749,31.06,98,84,2.75,RU,1635628266
585,Litovko,49.2361,35.42,60,100,8.21,RU,1635628267
586,Wanning,18.8003,76.01,87,90,9.28,CN,1635628269
587,Ukwā,21.9667,58.77,67,95,3.09,IN,1635628270
588,Farrukhābād,27.4,68.36,48,0,4.07,IN,1635628272
589,Aktash,50.3,20.64,73,100,3.71,RU,1635628220
590,Concepción,-36.827,64.2,63,0,11.5,CL,1635628275
591,Samarai,-10.6167,82.72,79,99,13.67,PG,1635628276
592,Archidona,37.0965,61.0,83,99,5.55,ES,1635628277
593,Kitimat,54.0524,42.91,54,100,4.83,CA,1635628032
